Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),Midlands,2 Applicant Only,2013-Q2,86,12.000000,8.300000000
Children Act (Public),Midlands,3 Respondent Only,2013-Q2,3,22.800000,20.900000000
Children Act (Public),Midlands,4 Neither,2013-Q2,10,19.400000,4.700000000
Children Act (Public),Midlands,All types,2013-Q2,721,32.800000,28.000000000
Children Act (Public),North East,1 Both,2013-Q2,669,36.300000,29.900000000
Children Act (Public),North East,2 Applicant Only,2013-Q2,98,11.400000,7.600000000
Children Act (Public),North East,3 Respondent Only,2013-Q2,8,49.800000,38.500000000
Children Act (Public),North East,All types,2013-Q2,775,33.300000,27.100000000
Children Act (Public),North West,1 Both,2013-Q2,496,38.800000,32.000000000
Children Act (Public),North West,2 Applicant Only,2013-Q2,131,22.500000,14.600000000
Children Act (Public),North West,3 Respondent Only,2013-Q2,1,61.700000,61.700000000
Children Act (Public),North West,4 Neither,2013-Q2,1,19.000000,19.000000000
Children Act (Public),North West,All types,2013-Q2,629,35.400000,29.000000000
Children Act (Public),South East,1 Both,2013-Q2,568,43.300000,38.200000000
Children Act (Public),South East,2 Applicant Only,2013-Q2,115,13.300000,5.300000000
Children Act (Public),South East,3 Respondent Only,2013-Q2,32,51.400000,45.300000000
Children Act (Public),South East,4 Neither,2013-Q2,5,34.100000,12.000000000
Children Act (Public),South East,All types,2013-Q2,720,38.800000,34.700000000
Children Act (Public),South West,1 Both,2013-Q2,406,35.900000,31.700000000
Children Act (Public),South West,2 Applicant Only,2013-Q2,61,12.000000,3.000000000
Children Act (Public),South West,3 Respondent Only,2013-Q2,16,41.800000,35.000000000
Children Act (Public),South West,4 Neither,2013-Q2,2,7.200000,7.200000000
Children Act (Public),South West,All types,2013-Q2,485,33.000000,29.600000000
Children Act (Public),Wales,1 Both,2013-Q2,234,38.500000,30.400000000
Children Act (Public),Wales,2 Applicant Only,2013-Q2,34,21.100000,11.000000000
Children Act (Public),Wales,3 Respondent Only,2013-Q2,15,40.300000,39.600000000
Children Act (Public),Wales,4 Neither,2013-Q2,2,112.200000,112.200000000
Children Act (Public),Wales,All types,2013-Q2,285,37.100000,29.400000000
Children Act (Public),England & Wales,1 Both,2013-Q3,3602,34.600000,27.900000000
Children Act (Public),England & Wales,2 Applicant Only,2013-Q3,696,13.200000,8.400000000
Children Act (Public),England & Wales,3 Respondent Only,2013-Q3,71,43.800000,43.000000000
Children Act (Public),England & Wales,4 Neither,2013-Q3,30,17.200000,7.500000000
Children Act (Public),England & Wales,All types,2013-Q3,4399,31.200000,25.900000000
Children Act (Public),London,1 Both,2013-Q3,476,41.800000,36.200000000
Children Act (Public),London,2 Applicant Only,2013-Q3,122,16.000000,8.200000000
Children Act (Public),London,3 Respondent Only,2013-Q3,4,38.300000,33.800000000
Children Act (Public),London,4 Neither,2013-Q3,4,11.700000,11.100000000
Children Act (Public),London,All types,2013-Q3,606,36.400000,32.000000000
Children Act (Public),Midlands,1 Both,2013-Q3,704,34.200000,26.000000000
Children Act (Public),Midlands,2 Applicant Only,2013-Q3,121,11.300000,7.100000000
Children Act (Public),Midlands,3 Respondent Only,2013-Q3,3,13.900000,11.700000000
Children Act (Public),Midlands,4 Neither,2013-Q3,6,11.700000,5.500000000
Children Act (Public),Midlands,All types,2013-Q3,834,30.700000,25.300000000
Children Act (Public),North East,1 Both,2013-Q3,663,31.000000,25.700000000
Children Act (Public),North East,2 Applicant Only,2013-Q3,125,12.900000,4.600000000
Children Act (Public),North East,3 Respondent Only,2013-Q3,5,32.200000,24.600000000
Children Act (Public),North East,4 Neither,2013-Q3,6,8.000000,3.700000000
Children Act (Public),North East,All types,2013-Q3,799,28.000000,24.600000000
Children Act (Public),North West,1 Both,2013-Q3,494,34.900000,28.500000000
Children Act (Public),North West,2 Applicant Only,2013-Q3,107,11.600000,8.700000000
Children Act (Public),North West,3 Respondent Only,2013-Q3,3,40.000000,43.900000000
Children Act (Public),North West,4 Neither,2013-Q3,4,9.100000,10.500000000
Children Act (Public),North West,All types,2013-Q3,608,30.700000,26.100000000
Children Act (Public),South East,1 Both,2013-Q3,623,35.700000,29.600000000
Children Act (Public),South East,2 Applicant Only,2013-Q3,116,15.800000,10.200000000
Children Act (Public),South East,3 Respondent Only,2013-Q3,25,56.000000,53.700000000
Children Act (Public),South East,4 Neither,2013-Q3,7,31.600000,13.000000000
Children Act (Public),South East,All types,2013-Q3,771,33.300000,27.100000000
Children Act (Public),South West,1 Both,2013-Q3,424,30.900000,26.000000000
Children Act (Public),South West,2 Applicant Only,2013-Q3,73,9.800000,3.300000000
Children Act (Public),South West,3 Respondent Only,2013-Q3,17,46.600000,36.700000000
Children Act (Public),South West,4 Neither,2013-Q3,2,33.600000,33.600000000
Children Act (Public),South West,All types,2013-Q3,516,28.400000,25.100000000
Children Act (Public),Wales,1 Both,2013-Q3,218,34.200000,26.100000000
Children Act (Public),Wales,2 Applicant Only,2013-Q3,32,14.300000,13.100000000
Children Act (Public),Wales,3 Respondent Only,2013-Q3,14,31.800000,25.900000000
Children Act (Public),Wales,4 Neither,2013-Q3,1,26.900000,26.900000000
Children Act (Public),Wales,All types,2013-Q3,265,31.600000,25.400000000
Children Act (Public),England & Wales,1 Both,2013-Q4,3224,31.500000,25.700000000
Children Act (Public),England & Wales,2 Applicant Only,2013-Q4,638,10.400000,4.800000000
Children Act (Public),England & Wales,3 Respondent Only,2013-Q4,46,37.400000,38.100000000
Children Act (Public),England & Wales,4 Neither,2013-Q4,36,13.100000,6.100000000
Children Act (Public),England & Wales,All types,2013-Q4,3944,28.000000,24.600000000
Children Act (Public),London,1 Both,2013-Q4,440,38.400000,33.700000000
Children Act (Public),London,2 Applicant Only,2013-Q4,119,13.000000,6.400000000
Children Act (Public),London,3 Respondent Only,2013-Q4,1,8.000000,8.000000000
Children Act (Public),London,4 Neither,2013-Q4,3,26.900000,27.900000000
Children Act (Public),London,All types,2013-Q4,563,32.900000,29.000000000
Children Act (Public),Midlands,1 Both,2013-Q4,627,30.600000,25.000000000
Children Act (Public),Midlands,2 Applicant Only,2013-Q4,102,11.600000,6.900000000
Children Act (Public),Midlands,3 Respondent Only,2013-Q4,2,24.800000,24.800000000
Children Act (Public),Midlands,4 Neither,2013-Q4,8,5.400000,5.900000000
Children Act (Public),Midlands,All types,2013-Q4,739,27.700000,24.100000000
Children Act (Public),North East,1 Both,2013-Q4,536,28.000000,24.600000000
Children Act (Public),North East,2 Applicant Only,2013-Q4,113,7.700000,3.700000000
Children Act (Public),North East,3 Respondent Only,2013-Q4,7,14.900000,9.700000000
Children Act (Public),North East,4 Neither,2013-Q4,4,11.700000,10.400000000
Children Act (Public),North East,All types,2013-Q4,660,24.300000,22.700000000
Children Act (Public),North West,1 Both,2013-Q4,515,32.000000,26.700000000
Children Act (Public),North West,2 Applicant Only,2013-Q4,112,11.400000,7.900000000
Children Act (Public),North West,3 Respondent Only,2013-Q4,3,15.200000,15.100000000
Children Act (Public),North West,4 Neither,2013-Q4,5,17.400000,12.900000000
Children Act (Public),North West,All types,2013-Q4,635,28.200000,24.900000000
Children Act (Public),South East,1 Both,2013-Q4,581,30.800000,26.000000000
Children Act (Public),South East,2 Applicant Only,2013-Q4,90,9.400000,4.200000000
Children Act (Public),South East,3 Respondent Only,2013-Q4,13,52.100000,54.400000000
Children Act (Public),South East,4 Neither,2013-Q4,6,17.700000,1.900000000
Children Act (Public),South East,All types,2013-Q4,690,28.300000,25.000000000
Children Act (Public),South West,1 Both,2013-Q4,331,30.800000,25.600000000
Children Act (Public),South West,2 Applicant Only,2013-Q4,75,8.000000,3.000000000
Children Act (Public),South West,3 Respondent Only,2013-Q4,12,49.900000,41.500000000
Children Act (Public),South West,4 Neither,2013-Q4,6,14.200000,4.900000000
Children Act (Public),South West,All types,2013-Q4,424,27.100000,23.700000000
Children Act (Public),Wales,1 Both,2013-Q4,194,30.300000,25.100000000
Children Act (Public),Wales,2 Applicant Only,2013-Q4,27,11.000000,11.300000000
Children Act (Public),Wales,3 Respondent Only,2013-Q4,8,29.300000,27.900000000
Children Act (Public),Wales,4 Neither,2013-Q4,4,5.700000,4.800000000
Children Act (Public),Wales,All types,2013-Q4,233,27.600000,24.600000000
Children Act (Public),England & Wales,1 Both,2014-Q1,2579,30.100000,25.600000000
Children Act (Public),England & Wales,2 Applicant Only,2014-Q1,571,10.700000,5.000000000
Children Act (Public),England & Wales,3 Respondent Only,2014-Q1,40,28.700000,25.000000000
Children Act (Public),England & Wales,4 Neither,2014-Q1,27,15.400000,12.000000000
Children Act (Public),England & Wales,All types,2014-Q1,3217,26.500000,24.400000000
Children Act (Public),London,1 Both,2014-Q1,335,36.700000,32.300000000
Children Act (Public),London,2 Applicant Only,2014-Q1,114,14.100000,4.400000000
Children Act (Public),London,3 Respondent Only,2014-Q1,1,24.600000,24.600000000
Children Act (Public),London,4 Neither,2014-Q1,2,38.600000,38.600000000
Children Act (Public),London,All types,2014-Q1,452,31.000000,28.600000000
Children Act (Public),Midlands,1 Both,2014-Q1,528,31.900000,25.800000000
Children Act (Public),Midlands,2 Applicant Only,2014-Q1,87,12.100000,7.000000000
Children Act (Public),Midlands,3 Respondent Only,2014-Q1,3,20.800000,25.900000000
Children Act (Public),Midlands,4 Neither,2014-Q1,4,7.400000,7.400000000
Children Act (Public),Midlands,All types,2014-Q1,622,28.900000,25.000000000
Children Act (Public),North East,1 Both,2014-Q1,405,27.400000,25.000000000
Children Act (Public),North East,2 Applicant Only,2014-Q1,102,8.100000,3.200000000
Children Act (Public),North East,3 Respondent Only,2014-Q1,4,16.400000,20.400000000
Children Act (Public),North East,4 Neither,2014-Q1,4,4.300000,1.600000000
Children Act (Public),North East,All types,2014-Q1,515,23.300000,23.100000000
Children Act (Public),North West,1 Both,2014-Q1,421,29.500000,25.900000000
Children Act (Public),North West,2 Applicant Only,2014-Q1,94,12.600000,10.600000000
Children Act (Public),North West,3 Respondent Only,2014-Q1,4,26.400000,25.200000000
Children Act (Public),North West,4 Neither,2014-Q1,5,26.900000,33.700000000
Children Act (Public),North West,All types,2014-Q1,524,26.400000,24.700000000
Children Act (Public),South East,1 Both,2014-Q1,438,28.900000,25.000000000
Children Act (Public),South East,2 Applicant Only,2014-Q1,84,9.300000,4.500000000
Children Act (Public),South East,3 Respondent Only,2014-Q1,9,46.400000,67.300000000
Children Act (Public),South East,4 Neither,2014-Q1,8,16.400000,5.500000000
Children Act (Public),South East,All types,2014-Q1,539,25.900000,24.000000000
Children Act (Public),South West,1 Both,2014-Q1,289,27.400000,24.000000000
Children Act (Public),South West,2 Applicant Only,2014-Q1,66,6.800000,1.800000000
Children Act (Public),South West,3 Respondent Only,2014-Q1,9,29.900000,26.600000000
Children Act (Public),South West,4 Neither,2014-Q1,2,0.000000,0.000000000
Children Act (Public),South West,All types,2014-Q1,366,23.600000,22.600000000
Children Act (Public),Wales,1 Both,2014-Q1,163,27.300000,24.400000000
Children Act (Public),Wales,2 Applicant Only,2014-Q1,24,9.400000,6.000000000
Children Act (Public),Wales,3 Respondent Only,2014-Q1,10,20.200000,22.500000000
Children Act (Public),Wales,4 Neither,2014-Q1,2,13.100000,13.100000000
Children Act (Public),Wales,All types,2014-Q1,199,24.700000,23.700000000
Children Act (Public),England & Wales,1 Both,2014-Q2,2628,29.200000,25.100000000
Children Act (Public),England & Wales,2 Applicant Only,2014-Q2,480,12.100000,7.600000000
Children Act (Public),England & Wales,3 Respondent Only,2014-Q2,36,23.100000,22.100000000
Children Act (Public),England & Wales,4 Neither,2014-Q2,31,17.900000,8.000000000
Children Act (Public),England & Wales,All types,2014-Q2,3175,26.400000,24.000000000
Children Act (Public),London,1 Both,2014-Q2,334,38.200000,32.600000000
Children Act (Public),London,2 Applicant Only,2014-Q2,71,12.900000,4.900000000
Children Act (Public),London,3 Respondent Only,2014-Q2,4,34.300000,34.700000000
Children Act (Public),London,All types,2014-Q2,409,33.700000,29.100000000
Children Act (Public),Midlands,1 Both,2014-Q2,510,29.400000,25.000000000
Children Act (Public),Midlands,2 Applicant Only,2014-Q2,84,12.800000,8.100000000
Children Act (Public),Midlands,3 Respondent Only,2014-Q2,4,17.600000,18.800000000
Children Act (Public),Midlands,4 Neither,2014-Q2,9,34.400000,15.400000000
Children Act (Public),Midlands,All types,2014-Q2,607,27.100000,24.000000000
Children Act (Public),North East,1 Both,2014-Q2,427,27.700000,24.900000000
Children Act (Public),North East,2 Applicant Only,2014-Q2,94,9.800000,5.800000000
Children Act (Public),North East,3 Respondent Only,2014-Q2,1,37.100000,37.100000000
Children Act (Public),North East,4 Neither,2014-Q2,4,20.500000,14.700000000
Children Act (Public),North East,All types,2014-Q2,526,24.500000,23.600000000
Children Act (Public),North West,1 Both,2014-Q2,422,27.400000,25.100000000
Children Act (Public),North West,2 Applicant Only,2014-Q2,101,12.600000,11.300000000
Children Act (Public),North West,3 Respondent Only,2014-Q2,1,39.000000,39.000000000
Children Act (Public),North West,4 Neither,2014-Q2,4,13.100000,16.400000000
Children Act (Public),North West,All types,2014-Q2,528,24.500000,23.400000000
Children Act (Public),South East,1 Both,2014-Q2,467,29.400000,25.100000000
Children Act (Public),South East,2 Applicant Only,2014-Q2,68,9.600000,3.700000000
Children Act (Public),South East,3 Respondent Only,2014-Q2,6,20.900000,18.200000000
Children Act (Public),South East,4 Neither,2014-Q2,8,5.800000,3.300000000
Children Act (Public),South East,All types,2014-Q2,549,26.500000,24.300000000
Children Act (Public),South West,1 Both,2014-Q2,321,25.100000,23.400000000
Children Act (Public),South West,2 Applicant Only,2014-Q2,44,9.800000,3.300000000
Children Act (Public),South West,3 Respondent Only,2014-Q2,9,22.300000,22.300000000
Children Act (Public),South West,4 Neither,2014-Q2,4,7.500000,6.500000000
Children Act (Public),South West,All types,2014-Q2,378,23.100000,22.600000000
Children Act (Public),Wales,1 Both,2014-Q2,147,25.700000,24.100000000
Children Act (Public),Wales,2 Applicant Only,2014-Q2,18,31.300000,12.600000000
Children Act (Public),Wales,3 Respondent Only,2014-Q2,11,20.000000,17.100000000
Children Act (Public),Wales,4 Neither,2014-Q2,2,17.300000,17.300000000
Children Act (Public),Wales,All types,2014-Q2,178,25.800000,23.800000000
Children Act (Public),England & Wales,1 Both,2014-Q3,2662,30.000000,25.000000000
Children Act (Public),England & Wales,2 Applicant Only,2014-Q3,552,18.700000,10.700000000
Children Act (Public),England & Wales,3 Respondent Only,2014-Q3,45,29.800000,25.000000000
Children Act (Public),England & Wales,4 Neither,2014-Q3,33,21.900000,6.400000000
Children Act (Public),England & Wales,All types,2014-Q3,3292,28.000000,24.300000000
Children Act (Public),London,1 Both,2014-Q3,427,43.600000,34.300000000
Children Act (Public),London,2 Applicant Only,2014-Q3,136,34.500000,23.200000000
Children Act (Public),London,3 Respondent Only,2014-Q3,3,54.700000,55.600000000
Children Act (Public),London,4 Neither,2014-Q3,9,46.400000,31.700000000
Children Act (Public),London,All types,2014-Q3,575,41.600000,33.000000000
Children Act (Public),Midlands,1 Both,2014-Q3,487,29.600000,25.100000000
Children Act (Public),Midlands,2 Applicant Only,2014-Q3,94,15.400000,12.100000000
Children Act (Public),Midlands,3 Respondent Only,2014-Q3,3,18.800000,19.000000000
Children Act (Public),Midlands,4 Neither,2014-Q3,3,8.600000,6.100000000
Children Act (Public),Midlands,All types,2014-Q3,587,27.200000,24.300000000
Children Act (Public),North East,1 Both,2014-Q3,488,25.700000,23.900000000
Children Act (Public),North East,2 Applicant Only,2014-Q3,80,10.800000,6.400000000
Children Act (Public),North East,3 Respondent Only,2014-Q3,3,40.700000,45.900000000
Children Act (Public),North East,4 Neither,2014-Q3,8,23.300000,7.900000000
